10;f6;1;0;0.001;0.01;4157;1.122469073;inf;inf;   f0() = (1.122469073) x1 x1 sin x1 cos + x1 log 1 x1 + 1 exp + + 1 exp + log / exp * 
10;f10;0;1;0;1;15090;4.102369625;inf;inf;   f0() = (4.102369625) x1 x1 - x1 x1 - log - sin x1 x2 cos cos / + 
10;f9;0;1;0;1;15629;0.96867002;inf;inf;   f0() = (0.96867002) x2 sin x2 * x1 sin + 
10;f8;1;0;0.001;0.01;4211;0.6217753275;inf;inf;   f0() = (0.6217753275) 1 exp x1 1 + x1 cos 1 sin * 1 sin * + / cos 1 exp sin / 
10;f10;1;0;0;0.001;12436;4.102369625;inf;inf;   f0() = (4.102369625) x1 x2 cos cos / 
10;f1;1;1;0;0.001;3527;0.6590725614;inf;inf;   f0() = (0.6590725614) x1 x1 sin 1 x1 exp / / x1 log 1 x1 + 1 exp + + x1 exp + log / exp * 
10;f9;1;0;0;0.001;14180;0.96867002;inf;inf;   f0() = (0.96867002) x1 sin x2 sin x2 * + 
10;f7;1;1;0;0.001;2624;0.7935151749;inf;inf;   f0() = (0.7935151749) x1 x1 + 1 exp / 1 sin x1 x1 / + * 
10;f2;1;1;0;0.001;3928;0.8262758655;inf;inf;   f0() = (0.8262758655) x1 sin exp 1 - x1 exp * 
10;f3;1;1;0;0.001;3951;2.788589307;inf;inf;   f0() = (2.788589307) x1 log 1 1 - + exp x1 exp + x1 * 
10;f4;1;1;0;0.001;4292;2.274563885;inf;inf;   f0() = (2.274563885) x1 x1 x1 exp + x1 sin cos cos + * 
10;f10;1;0;0;0.01;11321;4.690241524;inf;inf;   f0() = (4.690241524) x1 sin x1 x2 cos * x2 cos * + 
10;f5;1;1;0;0.001;4567;0.7945991889;inf;inf;   f0() = (0.7945991889) x1 sin sin cos exp cos 
10;f6;1;1;0;0.001;4682;0.9600614019;inf;inf;   f0() = (0.9600614019) x1 1 * sin x1 sin sin sin 1 x1 log / + x1 log 1 x1 + 1 exp + + 1 exp + log / exp * 
10;f8;1;1;0;0.001;4467;1.875900229;inf;inf;   f0() = (1.875900229) 1 1 + x1 log x1 + x1 exp log * + log log sin 1 1 - exp + 
10;f9;1;0;0;0.01;12984;0.96867002;inf;inf;   f0() = (0.96867002) x2 sin x2 * x1 sin + 
10;f1;1;1;0;0.01;3345;0.4780013585;inf;inf;   f0() = (0.4780013585) x1 x1 exp 1 / 1 exp sin cos / * 
10;f2;1;1;0;0.01;2820;0.7561933763;inf;inf;   f0() = (0.7561933763) x1 sin x1 exp 1 - exp * 
10;f6;1;1;0;0.01;3084;1.162691949;inf;inf;   f0() = (1.162691949) x1 sin sin x1 cos log - x1 sin + 
10;f7;1;1;0;0.01;2618;0.5708314757;inf;inf;   f0() = (0.5708314757) x1 x1 + 1 1 / x1 x1 - / sin x1 x1 / cos + sin exp / 1 sin x1 x1 / + * 
10;f3;1;1;0;0.01;3938;3.684887851;inf;inf;   f0() = (3.684887851) x1 x1 / 1 1 - + cos x1 x1 exp * 1 + + x1 * 
10;f4;1;1;0;0.01;3805;1.162677846;inf;inf;   f0() = (1.162677846) x1 1 x1 sin - / 
10;f5;1;1;0;0.01;4958;0.7945991889;inf;inf;   f0() = (0.7945991889) x1 sin sin cos exp cos 
10;f8;1;1;0;0.01;4419;0.9177234795;inf;inf;   f0() = (0.9177234795) 1 log cos 1 log exp cos - x1 log cos cos x1 + + 1 sin sin / log 
10;f1;1;1;0;0.1;3516;1.445345469;inf;inf;   f0() = (1.445345469) x1 x1 exp * 
10;f3;1;1;0;0.1;2375;1.999189514;inf;inf;   f0() = (1.999189514) x1 sin x1 log + x1 1 / 1 x1 cos - + cos - exp 1 x1 - log - 
10;f2;1;1;0;0.1;3834;1.287572136;inf;inf;   f0() = (1.287572136) x1 1 x1 sin - / 
10;f4;1;1;0;0.1;2802;1.162677846;inf;inf;   f0() = (1.162677846) x1 1 x1 sin - / 
10;f6;1;1;0;0.1;3532;1.192014829;inf;inf;   f0() = (1.192014829) x1 x1 sin sin x1 cos log - sin + 
10;f9;1;0;0.001;0.01;14533;0.96867002;inf;inf;   f0() = (0.96867002) x1 sin x2 x2 sin * + 
10;f5;1;1;0;0.1;5163;0.7945991889;inf;inf;   f0() = (0.7945991889) x1 sin sin cos exp cos 
